source,target,relationshipType,properties
402,401,RELATED,"{order: 114, description: is an identifiable etiology of, metadata: {\""summary\"": \""The text discusses the classification of central sleep apnea. Central sleep apnea associated with identifiable causes, such as Cheyne-Stokes breathing or substance-induced central sleep apnea, are not considered treatment-emergent.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
403,404,RELATED,"{order: 114, description: induces, metadata: {\""summary\"": \""The text discusses the classification of central sleep apnea. Central sleep apnea associated with identifiable causes, such as Cheyne-Stokes breathing or substance-induced central sleep apnea, are not considered treatment-emergent.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
404,401,RELATED,"{order: 114, description: is an identifiable etiology of, metadata: {\""summary\"": \""The text discusses the classification of central sleep apnea. Central sleep apnea associated with identifiable causes, such as Cheyne-Stokes breathing or substance-induced central sleep apnea, are not considered treatment-emergent.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
405,406,RELATED,"{order: 115, description: requires_test, metadata: {\""summary\"": \""The text discusses the process of diagnosing sleep-related hypoventilation disorders, which involves demonstrating elevated levels of carbon dioxide in the blood. This can be done through direct measurement of arterial blood gases or by using proxy measures such as end-tidal or transcutaneous CO2 determination.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
406,407,RELATED,"{order: 115, description: relates_to, metadata: {\""summary\"": \""The text discusses the process of diagnosing sleep-related hypoventilation disorders, which involves demonstrating elevated levels of carbon dioxide in the blood. This can be done through direct measurement of arterial blood gases or by using proxy measures such as end-tidal or transcutaneous CO2 determination.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
406,408,RELATED,"{order: 115, description: relates_to, metadata: {\""summary\"": \""The text discusses the process of diagnosing sleep-related hypoventilation disorders, which involves demonstrating elevated levels of carbon dioxide in the blood. This can be done through direct measurement of arterial blood gases or by using proxy measures such as end-tidal or transcutaneous CO2 determination.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
406,409,RELATED,"{order: 115, description: relates_to, metadata: {\""summary\"": \""The text discusses the process of diagnosing sleep-related hypoventilation disorders, which involves demonstrating elevated levels of carbon dioxide in the blood. This can be done through direct measurement of arterial blood gases or by using proxy measures such as end-tidal or transcutaneous CO2 determination.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
410,411,RELATED,"{order: 116, description: requires_test, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
410,412,RELATED,"{order: 116, description: requires_test, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
413,413,RELATED,"{order: 116, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
410,413,RELATED,"{order: 116, description: results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
414,415,RELATED,"{order: 117, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
414,416,RELATED,"{order: 117, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
415,417,RELATED,"{order: 117, description: has, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
415,418,RELATED,"{order: 117, description: has, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
419,415,RELATED,"{order: 117, description: is_a, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
420,415,RELATED,"{order: 117, description: is_a, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
421,415,RELATED,"{order: 117, description: is_a, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
422,423,RELATED,"{order: 118, description: relates_to, metadata: {\""summary\"": \""The text mentions that this edition of a document includes not only significant changes but also minor additions, deletions, and revisions of diagnoses.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
422,424,RELATED,"{order: 118, description: relates_to, metadata: {\""summary\"": \""The text mentions that this edition of a document includes not only significant changes but also minor additions, deletions, and revisions of diagnoses.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
147,64,RELATED,"{order: 119, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
147,80,RELATED,"{order: 119, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
147,112,RELATED,"{order: 119, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
425,426,RELATED,"{order: 120, description: have been moved to, metadata: {\""summary\"": \""The text indicates that a few items were evaluated and currently meet the criteria for formal diagnoses, so they have been categorized accordingly.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
427,29,RELATED,"{order: 121, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
428,65,RELATED,"{order: 121, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
429,114,RELATED,"{order: 121, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
313,430,RELATED,"{order: 122, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
430,431,RELATED,"{order: 122, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
431,257,RELATED,"{order: 122, description: contains, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
432,433,RELATED,"{order: 123, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
313,434,RELATED,"{order: 125, description: relates_to, metadata: {\""summary\"": \""The text provided by the user is related to a guide for medical diagnoses, specifically discussing various terms under a specific diagnosis. The headings for the terms are \\""Alternate Names,\\"" \\""Diagnostic Criteria,\\"" \\""Essential Features,\\"" \\""Associated Features,\\"" \\""Clinical and Pathophysiological Subtypes,\\"" and \\""Demographics.\\"" The \\""Demographics\\"" section includes information about the relevant population statistics for the diagnosis. Users should refer to the appropriate text heading for detailed information on these terms.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
435,313,RELATED,"{order: 125, description: relates_to, metadata: {\""summary\"": \""The text provided by the user is related to a guide for medical diagnoses, specifically discussing various terms under a specific diagnosis. The headings for the terms are \\""Alternate Names,\\"" \\""Diagnostic Criteria,\\"" \\""Essential Features,\\"" \\""Associated Features,\\"" \\""Clinical and Pathophysiological Subtypes,\\"" and \\""Demographics.\\"" The \\""Demographics\\"" section includes information about the relevant population statistics for the diagnosis. Users should refer to the appropriate text heading for detailed information on these terms.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
436,437,RELATED,"{order: 126, description: is_risk_factor_for, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
438,437,RELATED,"{order: 126, description: is_risk_factor_for, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
439,437,RELATED,"{order: 126, description: is_risk_factor_for, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
440,439,RELATED,"{order: 126, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
441,439,RELATED,"{order: 126, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
442,443,RELATED,"{order: 126, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
444,443,RELATED,"{order: 126, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
445,443,RELATED,"{order: 126, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
446,347,RELATED,"{order: 126, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
447,347,RELATED,"{order: 126, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
448,449,RELATED,"{order: 126, description: requires_test, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
450,449,RELATED,"{order: 126, description: requires_test, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
451,449,RELATED,"{order: 126, description: requires_test, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
20,449,RELATED,"{order: 126, description: requires_test, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
452,444,RELATED,"{order: 127, description: relates_to, metadata: {\""summary\"": \""The text describes a Multiple Sleep Latency Test, a neurological examination that measures sleep latency. It involves the use of an electroencephalogram to monitor brain activity.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
452,453,RELATED,"{order: 127, description: requires_test, metadata: {\""summary\"": \""The text describes a Multiple Sleep Latency Test, a neurological examination that measures sleep latency. It involves the use of an electroencephalogram to monitor brain activity.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
454,455,RELATED,"{order: 129, description: Neuroimaging is a specific medical or diagnostic test., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
456,455,RELATED,"{order: 129, description: Electromyogram is a specific medical or diagnostic test., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
457,458,RELATED,"{order: 130, description: relates_to, metadata: {\""summary\"": \""The text pertains to medical topics, including the autonomic nervous system, endocrine system, genetic testing, physical findings, and respiratory system.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
459,459,RELATED,"{order: 130, description: is_a, metadata: {\""summary\"": \""The text pertains to medical topics, including the autonomic nervous system, endocrine system, genetic testing, physical findings, and respiratory system.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
460,460,RELATED,"{order: 130, description: is_a, metadata: {\""summary\"": \""The text pertains to medical topics, including the autonomic nervous system, endocrine system, genetic testing, physical findings, and respiratory system.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
461,461,RELATED,"{order: 130, description: is_a, metadata: {\""summary\"": \""The text pertains to medical topics, including the autonomic nervous system, endocrine system, genetic testing, physical findings, and respiratory system.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
462,463,RELATED,"{order: 131, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
464,465,RELATED,"{order: 132, description: relates_to, metadata: {\""summary\"": \""The text provided by the user appears to discuss two topics: ventilatory response and cardiac function. However, no specific details were given for either topic. Therefore, a succinct summary would be:\n\nThe text covers two general areas in physiology: ventilatory response and cardiac function. However, no further information is provided.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
466,455,RELATED,"{order: 133, description: Electrocardiogram is a specific type of medical or diagnostic test., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
467,468,RELATED,"{order: 134, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
469,468,RELATED,"{order: 134, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
468,470,RELATED,"{order: 134, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
350,471,RELATED,"{order: 135, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
472,291,RELATED,"{order: 135, description: classifies, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
473,291,RELATED,"{order: 135, description: classifies, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
474,475,RELATED,"{order: 136, description: has differed significantly, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
195,476,RELATED,"{order: 137, description: achieved_concordance_between, metadata: {\""summary\"": \""The development of the DSM-5 and the International Classification of Sleep Disorders occurred simultaneously, with an attempt to maximize concordance between them, while acknowledging that the sleep disorders classification would have more detail due to different target users.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
195,350,RELATED,"{order: 137, description: contains_greater_level_of_detail_than, metadata: {\""summary\"": \""The development of the DSM-5 and the International Classification of Sleep Disorders occurred simultaneously, with an attempt to maximize concordance between them, while acknowledging that the sleep disorders classification would have more detail due to different target users.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
195,477,RELATED,"{order: 137, description: has_differences_in, metadata: {\""summary\"": \""The development of the DSM-5 and the International Classification of Sleep Disorders occurred simultaneously, with an attempt to maximize concordance between them, while acknowledging that the sleep disorders classification would have more detail due to different target users.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
354,478,RELATED,"{order: 138, description: Despite efforts to fully achieve the goal, some differences or disparities still remain., metadata: {\""summary\"": \""The goal was mostly accomplished, but a few differences will remain.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
479,195,RELATED,"{order: 139, description: is paralleled in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
65,480,RELATED,"{order: 140, description: relates_to, metadata: {\""summary\"": \""The DSM classification system organizes Central Disorders of Hypersomnolence diagnoses differently than this manual, with some variations in narcolepsy criteria.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
387,480,RELATED,"{order: 140, description: relates_to, metadata: {\""summary\"": \""The DSM classification system organizes Central Disorders of Hypersomnolence diagnoses differently than this manual, with some variations in narcolepsy criteria.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
481,482,RELATED,"{order: 141, description: has a different diagnosis system compared to Circadian Rhythm Sleep-Wake Disorder, excluding Jet Lag Disorder, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
481,483,RELATED,"{order: 141, description: has identical diagnoses within these two systems, with the exception of Jet Lag Disorder, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
90,482,RELATED,"{order: 141, description: is not included in the diagnosis system of Circadian Rhythm Sleep-Wake Disorder, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
29,350,RELATED,"{order: 142, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
29,195,RELATED,"{order: 142, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
29,350,RELATED,"{order: 142, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
29,195,RELATED,"{order: 142, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
350,195,RELATED,"{order: 142, description: is_risk_factor_for, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
114,195,RELATED,"{order: 143, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
92,195,RELATED,"{order: 143, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
147,484,RELATED,"{order: 144, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
147,485,RELATED,"{order: 144, description: results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
484,486,RELATED,"{order: 145, description: relates_to, metadata: {\""summary\"": \""The text describes an effort that led to the inclusion of numerous sleep-related diagnoses in the ICD-9-CM, specifically in the Diseases of the Nervous System section.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
486,487,RELATED,"{order: 145, description: is_risk_factor_for, metadata: {\""summary\"": \""The text describes an effort that led to the inclusion of numerous sleep-related diagnoses in the ICD-9-CM, specifically in the Diseases of the Nervous System section.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
488,489,RELATED,"{order: 146, description: relates_to, metadata: {\""summary\"": \""The text discusses the historical classification principle in the International Classification of Diseases (ICD) that distinguishes between \\""organic\\"" and \\""non-organic\\"" disorders. This distinction has led to the categorization of sleep diagnoses under both neurological and mental disorder categories.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
488,490,RELATED,"{order: 146, description: relates_to, metadata: {\""summary\"": \""The text discusses the historical classification principle in the International Classification of Diseases (ICD) that distinguishes between \\""organic\\"" and \\""non-organic\\"" disorders. This distinction has led to the categorization of sleep diagnoses under both neurological and mental disorder categories.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
489,490,RELATED,"{order: 146, description: relates_to, metadata: {\""summary\"": \""The text discusses the historical classification principle in the International Classification of Diseases (ICD) that distinguishes between \\""organic\\"" and \\""non-organic\\"" disorders. This distinction has led to the categorization of sleep diagnoses under both neurological and mental disorder categories.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
491,492,RELATED,"{order: 146, description: historically been a guiding principle for the distinction between, metadata: {\""summary\"": \""The text discusses the historical classification principle in the International Classification of Diseases (ICD) that distinguishes between \\""organic\\"" and \\""non-organic\\"" disorders. This distinction has led to the categorization of sleep diagnoses under both neurological and mental disorder categories.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
484,493,RELATED,"{order: 147, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
494,493,RELATED,"{order: 147, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
484,494,RELATED,"{order: 147, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
495,496,RELATED,"{order: 148, description: essentially carried over to, metadata: {\""summary\"": \""The ICD-9-CM codes for sleep disorders have been largely carried over to ICD-10-CM, meaning that the codes used to identify and track sleep disorders in the previous system are still used in the current system.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
150,484,RELATED,"{order: 149, description: has a different coding approach from, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
150,497,RELATED,"{order: 149, description: has content revisions related to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
150,147,RELATED,"{order: 149, description: has a different coding approach compared to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
498,499,RELATED,"{order: 0, description: relates_to, metadata: {\""summary\"": \""The user has requested a succinct summary of a text, and I will provide that summary without any additional comments. The text to be summarized was not provided in the user's message. Therefore, I am unable to fulfill this request. The user is advised to provide the text to be summarized in a future message.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
500,501,RELATED,"{order: 1, description: relates_to, metadata: {\""summary\"": \""The text provides information that coding diagnostic codes for relevant ICD-9-CM and ICD-10-CM diagnoses can be found at the beginning of each diagnosis section in the book.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
484,502,RELATED,"{order: 2, description: relates_to, metadata: {\""summary\"": \""The United States is using ICD-9-CM codes until the implementation date for ICD-10-CM, which is no earlier than October 1, 2015.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
484,503,RELATED,"{order: 2, description: relates_to, metadata: {\""summary\"": \""The United States is using ICD-9-CM codes until the implementation date for ICD-10-CM, which is no earlier than October 1, 2015.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
496,503,RELATED,"{order: 2, description: relates_to, metadata: {\""summary\"": \""The United States is using ICD-9-CM codes until the implementation date for ICD-10-CM, which is no earlier than October 1, 2015.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
496,502,RELATED,"{order: 2, description: relates_to, metadata: {\""summary\"": \""The United States is using ICD-9-CM codes until the implementation date for ICD-10-CM, which is no earlier than October 1, 2015.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
496,504,RELATED,"{order: 3, description: relates_to, metadata: {\""summary\"": \""The text indicates that after a certain date, only the ICD-10-CM codes should be used for coding.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
150,488,RELATED,"{order: 4, description: does not have precise concordance with, metadata: {\""summary\"": \""The text states that clinicians should be aware that there is not a precise match between the codes assigned for sleep disorder diagnoses in the International Classification of Sleep Disorders, 3rd Edition and the diagnoses listed in the ICD.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
350,351,RELATED,"{order: 5, description: The International Classification of Sleep Disorders is a concept that is not reflected in the ICD system for many years., metadata: {\""summary\"": \""The International Classification of Sleep Disorders (ICSD) classification system's updates are not immediately reflected in the International Classification of Diseases (ICD) system.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
505,506,RELATED,"{order: 6, description: relates_to, metadata: {\""summary\"": \""The International Classification of Sleep Disorders (ICSD) has had more detailed categories for sleep disorders than the International Classification of Diseases (ICD), especially for non-US users not utilizing the Clinical Modification (CM) version.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
505,507,RELATED,"{order: 6, description: compared_to, metadata: {\""summary\"": \""The International Classification of Sleep Disorders (ICSD) has had more detailed categories for sleep disorders than the International Classification of Diseases (ICD), especially for non-US users not utilizing the Clinical Modification (CM) version.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
505,508,RELATED,"{order: 6, description: applies_to, metadata: {\""summary\"": \""The International Classification of Sleep Disorders (ICSD) has had more detailed categories for sleep disorders than the International Classification of Diseases (ICD), especially for non-US users not utilizing the Clinical Modification (CM) version.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
509,505,RELATED,"{order: 6, description: used_by, metadata: {\""summary\"": \""The International Classification of Sleep Disorders (ICSD) has had more detailed categories for sleep disorders than the International Classification of Diseases (ICD), especially for non-US users not utilizing the Clinical Modification (CM) version.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
509,510,RELATED,"{order: 6, description: applies_to, metadata: {\""summary\"": \""The International Classification of Sleep Disorders (ICSD) has had more detailed categories for sleep disorders than the International Classification of Diseases (ICD), especially for non-US users not utilizing the Clinical Modification (CM) version.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
511,512,RELATED,"{order: 7, description: relates_to, metadata: {\""summary\"": \""The text indicates that clinicians may find discrepancies between codes in the provided manual and ICD codes, meaning the assigned codes don't align as closely as desired with ICD codes.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
497,150,RELATED,"{order: 8, description: The document, International Classification of Sleep Disorders, 3rd Edition, assigns codes to the condition, chronic insomnia., metadata: {\""summary\"": \""The International Classification of Sleep Disorders, 3rd Edition, has consolidated chronic insomnia diagnoses into a single disorder. The codes assigned to this diagnosis are 307.42 (ICD-9-CM) for \\""Nonorganic persistent disorder of initiating or maintaining sleep\\"" and F51.01 (ICD-10-CM) for \\""Primary insomnia.\\""\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
497,513,RELATED,"{order: 8, description: The condition, chronic insomnia, is assigned the code 307.42 (ICD-9-CM) within International Classification of Sleep Disorders, 3rd Edition., metadata: {\""summary\"": \""The International Classification of Sleep Disorders, 3rd Edition, has consolidated chronic insomnia diagnoses into a single disorder. The codes assigned to this diagnosis are 307.42 (ICD-9-CM) for \\""Nonorganic persistent disorder of initiating or maintaining sleep\\"" and F51.01 (ICD-10-CM) for \\""Primary insomnia.\\""\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
497,514,RELATED,"{order: 8, description: The condition, chronic insomnia, is assigned the code F51.01 (ICD-10-CM) within International Classification of Sleep Disorders, 3rd Edition., metadata: {\""summary\"": \""The International Classification of Sleep Disorders, 3rd Edition, has consolidated chronic insomnia diagnoses into a single disorder. The codes assigned to this diagnosis are 307.42 (ICD-9-CM) for \\""Nonorganic persistent disorder of initiating or maintaining sleep\\"" and F51.01 (ICD-10-CM) for \\""Primary insomnia.\\""\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
497,515,RELATED,"{order: 8, description: The condition, chronic insomnia, is referred to as Nonorganic persistent disorder of initiating or maintaining sleep within International Classification of Sleep Disorders, 3rd Edition., metadata: {\""summary\"": \""The International Classification of Sleep Disorders, 3rd Edition, has consolidated chronic insomnia diagnoses into a single disorder. The codes assigned to this diagnosis are 307.42 (ICD-9-CM) for \\""Nonorganic persistent disorder of initiating or maintaining sleep\\"" and F51.01 (ICD-10-CM) for \\""Primary insomnia.\\""\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
497,516,RELATED,"{order: 8, description: The condition, chronic insomnia, is referred to as Primary insomnia within International Classification of Sleep Disorders, 3rd Edition., metadata: {\""summary\"": \""The International Classification of Sleep Disorders, 3rd Edition, has consolidated chronic insomnia diagnoses into a single disorder. The codes assigned to this diagnosis are 307.42 (ICD-9-CM) for \\""Nonorganic persistent disorder of initiating or maintaining sleep\\"" and F51.01 (ICD-10-CM) for \\""Primary insomnia.\\""\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
517,351,RELATED,"{order: 9, description: relates_to, metadata: {\""summary\"": \""The text suggests that while other insomnia diagnoses will still be included in the ICD system, they will no longer be relevant or useful for sleep medicine clinicians due to the classification and coding changes.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
517,518,RELATED,"{order: 9, description: relates_to, metadata: {\""summary\"": \""The text suggests that while other insomnia diagnoses will still be included in the ICD system, they will no longer be relevant or useful for sleep medicine clinicians due to the classification and coding changes.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
517,519,RELATED,"{order: 9, description: becomes essentially defunct for, metadata: {\""summary\"": \""The text suggests that while other insomnia diagnoses will still be included in the ICD system, they will no longer be relevant or useful for sleep medicine clinicians due to the classification and coding changes.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
13,520,RELATED,"{order: 10, description: relates_to, metadata: {\""summary\"": \""This text describes the assigned codes in this edition as the best approximations to corresponding ICD codes, acknowledging some discrepancies between the two systems in certain areas.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
521,512,RELATED,"{order: 10, description: relates_to, metadata: {\""summary\"": \""This text describes the assigned codes in this edition as the best approximations to corresponding ICD codes, acknowledging some discrepancies between the two systems in certain areas.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
521,522,RELATED,"{order: 10, description: has_symptom, metadata: {\""summary\"": \""This text describes the assigned codes in this edition as the best approximations to corresponding ICD codes, acknowledging some discrepancies between the two systems in certain areas.\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
22,23,RELATED,"{order: 11, description: is a more specific type of, metadata: {\""summary\"": \""The text appears to be a table of contents for a section about insomnia, including chronic insomnia disorder, short-term insomnia disorder, other insomnia disorder, and isolated symptoms and normal variants, with a subsection for \\""Excessive Time in Bed.\\""\"", \""generated_at\"": \""2025-01-20 17:12:16.497113\""}}"
